lemma,reason,detail
Junge,ambiguous_resolved,"dataset has ['m', 'n']; curator picked der"
Haus,ambiguous_resolved,"dataset has ['m', 'n']; curator picked das"
Kaffee,ambiguous_resolved,"dataset has ['m', 'n']; curator picked der"
Tee,ambiguous_resolved,"dataset has ['m', 'n']; curator picked der"
Butter,ambiguous_resolved,"dataset has ['f', 'm', 'n']; curator picked die"
Fleisch,no_plural,"mass/plural-less noun, or dataset gap"
Obst,no_plural,"mass/plural-less noun, or dataset gap"
Bus,ambiguous_resolved,"dataset has ['f', 'm']; curator picked der"
Taxi,ambiguous_resolved,"dataset has ['m', 'n']; curator picked das"
Tag,ambiguous_resolved,"dataset has ['m', 'n']; curator picked der"
Monat,ambiguous_resolved,"dataset has ['m', 'n']; curator picked der"
Morgen,ambiguous_resolved,"dataset has ['m', 'n']; curator picked der"
Schnee,no_plural,"mass/plural-less noun, or dataset gap"
Wetter,ambiguous_resolved,"dataset has ['m', 'n']; curator picked das"
See,ambiguous_resolved,"dataset has ['f', 'm']; curator picked der"
Stift,ambiguous_resolved,"dataset has ['f', 'm', 'n']; curator picked der"
Mund,ambiguous_resolved,"dataset has ['f', 'm']; curator picked der"
